45	2022	AI could help us to work out what psychedelic drugs to do our brains by analyzing the words used in trip reports | MIT Technology Review	https://www.technologyreview.com/2022/03/16/1047350/what-do-psychedelic-drugs-do-to-our-brains-ai-could-help-us-find-out
46	2022	This horse-riding astronaut is a milestone on AI's long road towards understanding | MIT Technology Review	https://www.technologyreview.com/2022/04/06/1049061/dalle-openai-gpt3-ai-agi-multimodal-image-generation
47	2022	South Africa's private surveillance machine is fueling a digital apartheid | MIT Technology Review	https://www.technologyreview.com/2022/04/19/1049996/south-africa-ai-surveillance-digital-apartheid
48	2022	How the AI industry profits from catastrophe | MIT Technology Review	https://www.technologyreview.com/2022/04/20/1050392/ai-industry-appen-scale-data-labels
49	2022	The gig workers fighting back against the algorithms | MIT Technology Review	https://www.technologyreview.com/2022/04/21/1050381/the-gig-workers-fighting-back-against-the-algorithms
50	2023	An MIT Technology Review Series: AI Colonialism | MIT Technology Review	https://www.technologyreview.com/supertopic/ai-colonialism-supertopic
51	1989	Papa Reo	https://papareo.nz
52	2016	INDIGENOUS AI — PEOPLE	https://www.indigenous-ai.net/people
53	2020	This know-it-all AI learns by reading the entire web nonstop | MIT Technology Review	https://www.technologyreview.com/2020/09/04/1008156/knowledge-graph-ai-reads-web-machine-learning-natural-language-processing
54	2021	The race to understand the thrilling, dangerous world of language AI | MIT Technology Review	https://www.technologyreview.com/2021/05/20/1025135/ai-large-language-models-bigscience-project
55	2012	Rachel Haurwitz | MIT Technology Review	https://www.technologyreview.com/innovator/rachel-haurwitz
56	2021	Wearable materials with embedded synthetic biology sensors for biomolecule detection | Nature Biotechnology	https://www.nature.com/articles/s41587-021-00950-3
57	2021	How Artificial Intelligence Can Deepen Racial and Economic Inequities | ACLU	https://www.aclu.org/news/privacy-technology/how-artificial-intelligence-can-deepen-racial-and-economic-inequities
58	2023	The Big Story | MIT Technology Review	https://www.technologyreview.com/collection/the-big-story
59	2022	Deception, exploited workers, and free cash: How Worldcoin recruited its first half a million test users | MIT Technology Review	https://www.technologyreview.com/2022/04/06/1048981/worldcoin-cryptocurrency-biometrics-web3
60	2022	AI is making inequality worse | MIT Technology Review	https://www.technologyreview.com/2022/04/19/1049378/ai-inequality-problem
